Age,Income,Children,Tenure,Outage_sec_perweek,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Gender_Male,Gender_Nonbinary,Marital_Married,Marital_NeverMarried,Marital_Separated,Marital_Widowed
45,43383.54,9,11.08287797,6.613070806,0,1,0,0,0,0,1,0,0,1,1,6,7,8,4,6,6,6,7,1,0,1,0,0,0
40,21793.88,0,3.586184954,4.450171647,0,0,1,1,1,0,1,0,1,0,0,7,6,5,6,6,7,5,6,0,0,0,1,0,0
82,51960.51,6,4.727388465,8.774646693,0,1,1,1,0,0,1,0,0,1,1,5,5,5,4,7,4,6,4,0,0,0,0,0,0
74,25942.1,5,20.89923386,11.13156721,0,0,0,1,1,1,1,0,0,1,0,4,4,5,6,4,6,5,8,1,0,0,0,1,0
69,11211.59,4,3.471329958,5.540788887,0,1,0,1,1,1,0,1,1,1,1,3,4,4,4,7,3,4,4,1,0,0,0,0,1
52,8283.29,1,5.478588204,13.80362698,0,1,0,1,1,1,1,0,1,0,0,5,7,6,5,6,6,5,6,1,0,0,1,0,0
26,10114.81,2,3.312991809,16.31017089,0,1,0,1,1,1,1,1,1,0,1,5,6,4,4,7,5,4,4,0,0,0,1,0,0
25,36229.21,1,7.161561527,9.447065309,0,1,1,1,1,1,0,1,0,0,0,4,3,5,7,4,6,6,6,0,0,0,1,0,0
66,25397.44,1,9.847563364,16.84100845,0,1,0,1,0,1,1,0,1,0,1,5,5,6,5,7,5,5,4,0,0,0,0,0,0
72,50336.5,1,16.04202196,7.972937227,0,1,0,1,0,0,1,1,0,0,0,6,5,6,3,5,5,3,7,1,0,0,0,0,0
21,38211.37,3,9.179779682,11.42906608,0,0,0,1,0,0,1,1,0,1,0,4,7,6,6,6,4,5,5,0,0,0,0,0,0
55,52887.26,3,3.002844144,8.06137096,0,1,0,1,0,1,0,0,1,0,0,6,6,7,6,4,5,6,6,1,0,1,0,0,0
41,12003.33,4,3.924254455,12.54780492,0,1,0,1,1,1,0,0,1,1,1,6,6,6,4,8,5,6,5,1,0,0,0,0,0
32,24090.62,4,18.55959629,8.255565152,0,1,1,1,1,0,0,0,1,0,1,6,6,6,6,5,6,6,5,1,0,0,1,0,0
22,15137.93,0,8.798394712,13.156514,0,1,0,1,1,1,0,0,0,1,1,5,5,5,5,6,5,6,5,0,0,0,1,0,0
44,54458.38,2,10.377366,10.58349704,0,1,1,1,1,1,1,1,0,1,1,6,6,7,7,5,6,4,7,0,0,0,0,0,0
23,132116.33,2,22.25746016,12.50184778,0,1,0,1,0,1,1,0,1,0,1,5,5,4,7,7,5,6,6,1,0,0,0,0,0
43,37358.13,3,9.427146079,9.750038902,1,0,0,1,1,1,1,1,1,0,0,5,4,6,5,6,6,5,6,0,0,0,1,0,0
86,26534.16,1,7.760290062,7.868660851,0,1,0,1,0,0,0,0,0,1,0,6,5,6,7,6,6,6,6,0,0,0,0,1,0
84,76430.83,2,11.56938439,12.43563329,0,0,1,1,0,0,0,0,1,0,0,6,6,5,6,4,6,6,5,0,0,1,0,0,0
62,4662.37,2,3.343811019,8.957166926,0,1,0,1,1,0,0,1,1,0,1,7,7,6,5,6,4,7,5,0,0,0,0,1,0
68,43820.85,5,7.338869531,8.015021713,0,1,0,1,0,0,0,1,0,1,1,7,6,6,4,5,7,6,7,0,0,0,0,0,0
59,38391.55,1,5.486534225,4.210347704,0,0,0,1,0,0,0,1,0,1,0,5,5,5,6,5,7,4,5,0,0,0,1,0,0
31,44137.6,0,1.55278221,11.13960534,1,0,0,1,1,0,0,0,0,1,0,5,5,6,5,5,5,7,6,0,0,0,0,1,0
51,14364.65,0,12.07970325,9.03738856,0,1,0,1,1,1,0,1,0,0,0,5,7,5,4,5,6,6,5,1,0,0,0,0,1
58,62359.91,1,13.98666226,10.91594785,0,0,0,1,0,0,0,1,0,1,0,6,5,6,3,6,5,4,6,0,0,0,0,1,0
73,82634.86,1,9.563362997,8.387624096,0,0,0,1,0,0,1,0,0,0,0,4,5,6,4,6,6,4,5,1,0,1,0,0,0
33,15690.25,1,6.732948946,11.4487514,0,0,0,1,0,1,0,1,1,0,1,5,4,4,4,5,5,5,4,0,0,0,0,0,1
58,14568.7,1,15.72071086,10.22013704,0,1,0,1,1,0,0,0,1,1,1,6,4,6,7,5,4,4,5,1,0,0,0,1,0
49,29207.46,0,7.233605493,8.425458142,0,0,0,1,0,0,0,1,0,0,0,4,4,6,5,5,4,4,5,0,0,0,1,0,0
26,55319.23,1,2.871017037,8.386280619,0,0,1,1,0,1,1,0,1,0,1,4,4,5,5,6,5,5,5,0,0,0,1,0,0
25,81831.49,1,2.344875382,9.565924291,0,1,0,1,1,0,0,1,1,1,0,6,5,6,7,6,5,7,5,1,0,0,0,0,1
42,100076.65,0,7.960490246,10.79349982,0,1,0,1,0,1,1,0,0,0,1,4,4,4,5,6,7,5,5,0,0,0,0,1,0
81,69965.65,1,12.25062113,6.081975067,0,0,1,1,0,0,0,1,0,0,0,4,4,4,6,5,6,7,4,1,0,0,0,0,1
43,34883.69,1,9.634946079,13.55065547,1,0,1,1,0,0,0,1,0,0,1,5,5,5,6,5,5,6,6,0,0,0,0,0,0
63,45634.2,2,7.916533093,9.470419821,0,1,0,1,1,0,1,1,0,1,0,6,5,6,6,5,5,5,6,1,0,0,1,0,0
70,10964.73,3,4.471254161,6.194985909,0,1,0,1,1,0,0,1,1,1,1,6,6,7,5,5,6,6,6,0,0,1,0,0,0
78,22365.28,1,10.79028074,10.80393657,0,0,0,1,0,0,0,0,0,1,1,5,5,6,3,7,4,2,5,1,0,0,0,0,1
48,52636.6,0,12.24190682,7.903964267,0,1,1,1,1,1,0,0,0,1,0,6,8,7,7,4,7,7,8,1,0,0,0,1,0
63,19048.13,1,2.203859443,11.27443693,1,1,0,1,0,0,0,1,0,1,1,5,5,5,4,5,5,5,6,0,0,0,0,1,0
60,42784.82,4,23.92132231,6.129509309,0,1,1,1,0,1,1,0,1,1,1,4,4,3,4,6,2,4,4,0,0,1,0,0,0
87,77996.88,0,3.7311787,7.969277912,1,1,0,1,1,0,1,0,1,1,1,6,6,5,4,5,6,4,5,1,0,0,0,0,0
54,47507.3,3,7.980015371,4.368120492,0,1,0,1,0,0,1,0,0,0,0,7,6,6,6,4,7,7,6,0,0,1,0,0,0
35,7724.73,3,9.190009376,6.258356398,0,1,0,1,0,0,1,1,1,1,1,5,6,7,6,6,6,6,5,1,0,0,0,0,0
70,1509.52,1,2.378630018,12.92303286,0,0,0,1,1,0,1,1,0,0,1,5,5,5,4,7,6,5,5,1,0,0,1,0,0
67,81124.71,2,5.43464555,12.43301273,0,1,1,1,1,1,1,1,1,1,1,6,6,5,6,4,6,6,5,0,0,1,0,0,0
46,11795.57,4,1.092361222,7.607663559,0,0,0,0,0,0,0,1,1,1,1,8,8,7,7,6,8,6,7,0,0,0,0,0,1
50,74794.84,1,20.13981517,7.442789019,0,0,0,1,0,0,1,0,0,0,1,7,7,6,5,6,6,5,5,1,0,0,1,0,0
24,19038.78,1,24.64873861,13.04429298,0,0,1,1,1,0,0,0,0,1,1,5,5,4,8,5,5,6,6,0,0,0,1,0,0
20,79167.77,0,9.677739656,14.89762162,0,0,1,1,0,1,0,1,0,0,0,6,5,6,5,4,5,6,6,1,0,0,0,0,0
29,37428.26,1,9.82814183,13.79387475,0,1,0,1,0,0,0,0,0,1,1,6,5,6,7,4,6,6,5,0,0,1,0,0,0
31,45148.38,0,7.832238337,15.66367593,1,1,0,1,1,0,0,1,1,0,0,6,6,6,5,5,6,5,5,1,0,0,0,0,0
72,74855.47,5,19.45250317,8.513410306,0,1,0,1,1,0,0,0,1,0,1,5,5,5,6,8,4,5,5,0,0,0,0,1,0
71,45323.86,4,14.34766616,8.265002035,0,0,1,1,0,1,0,1,1,0,0,5,5,6,6,5,6,7,4,1,0,0,0,0,0
32,71596.14,2,2.257358355,8.6026551,0,1,0,1,1,1,1,1,1,0,0,4,6,4,4,6,6,4,7,0,0,0,0,0,0
33,10389.95,0,2.358129018,6.03993035,0,0,0,1,0,1,0,0,0,1,0,6,6,5,6,6,5,6,3,1,0,0,1,0,0
67,19657.14,3,4.650578623,14.6040829,1,0,0,1,0,0,1,0,1,0,0,6,6,7,7,4,5,7,6,1,0,0,0,0,1
66,27827.03,0,3.721772616,7.274007029,0,1,0,1,1,0,0,0,0,1,1,5,6,6,3,8,5,6,6,0,0,0,0,0,0
21,15609.05,4,3.76663012,8.913898759,0,1,0,1,0,0,0,0,0,1,1,5,5,5,6,6,6,6,4,0,0,0,0,1,0
61,19815.63,0,4.151256695,11.59313893,0,1,1,1,0,0,1,0,0,0,0,6,7,6,5,6,5,4,5,0,0,0,1,0,0
75,58482.9,0,2.188918771,8.294186076,0,0,0,1,1,0,0,1,0,0,1,6,6,6,6,6,5,6,6,0,0,0,0,1,0
63,41656.53,0,13.85488928,15.19664016,0,1,1,0,0,0,1,1,0,1,1,6,7,6,7,5,6,7,5,0,0,0,0,0,1
68,115510.46,0,3.273341151,5.083995994,0,1,0,1,0,1,0,0,1,0,1,7,7,7,5,6,6,5,6,0,0,0,0,1,0
32,15841.19,2,19.75096265,6.942719201,0,1,0,1,1,0,1,1,0,0,0,7,7,6,6,6,6,6,6,1,0,0,1,0,0
76,81127.41,0,18.38404445,9.834012571,0,0,1,1,1,0,0,1,1,0,1,6,7,6,5,7,5,4,6,1,0,0,1,0,0
29,24270.88,0,4.672610857,11.0596826,0,0,0,1,0,1,1,1,0,1,1,4,4,5,4,8,4,4,5,0,0,0,0,0,0
83,54466.33,0,6.796299371,8.834079073,0,0,0,1,0,0,0,1,0,0,0,5,5,5,6,7,5,6,5,0,0,1,0,0,0
23,64816.84,10,12.97632235,5.271228601,0,0,0,1,0,1,1,1,1,1,0,6,7,7,5,6,7,6,7,1,0,0,0,0,0
80,103311.26,5,20.31163945,9.394961367,0,0,0,1,0,1,1,1,1,0,0,4,5,5,6,5,5,4,4,1,0,0,1,0,0
20,40211.04,0,6.998814446,14.4754365,0,0,0,1,1,0,0,1,0,1,0,6,5,6,4,7,3,3,3,1,0,0,1,0,0
69,58077.38,0,14.46288204,10.68311773,0,0,0,0,0,0,1,1,1,1,1,6,7,6,4,6,5,5,6,1,0,0,0,1,0
32,43466.35,1,11.13472066,13.79409442,0,0,0,1,1,0,0,1,0,1,0,6,5,5,5,6,5,7,6,1,0,0,1,0,0
53,23289.77,0,2.542296644,12.40165307,0,0,1,1,1,0,0,1,0,1,1,7,5,6,7,6,6,4,6,0,0,0,0,0,0
25,49158.49,2,17.22596021,10.24782033,0,0,0,1,0,0,1,0,0,0,1,5,5,6,5,6,6,6,5,1,0,0,0,1,0
69,3805.84,0,22.79214163,14.86100819,0,1,0,0,1,0,1,1,0,1,0,6,6,6,6,7,5,5,5,1,0,0,0,0,0
71,52616.27,3,3.823689744,6.716953195,0,0,0,1,1,0,1,1,0,1,0,6,4,6,7,5,7,5,7,1,0,0,0,0,1
53,30550.42,3,10.77094687,8.124258176,0,0,0,1,1,1,1,0,0,1,1,6,6,7,5,6,7,5,6,0,0,0,0,0,1
56,12154.01,2,13.08671185,14.60903837,0,0,1,1,1,0,1,0,1,1,0,5,5,6,6,4,6,7,7,0,1,0,0,0,0
42,30649.31,0,14.76468813,12.65015936,0,1,0,0,1,0,0,0,1,0,1,5,6,5,6,4,5,7,6,1,0,1,0,0,0
33,31417.33,3,9.473091121,12.0281501,0,0,0,1,1,0,0,1,1,1,0,7,7,7,7,5,7,6,7,1,0,1,0,0,0
47,55861.19,1,5.197446331,15.68043093,0,0,0,1,0,0,0,0,0,1,0,5,5,5,5,6,6,5,6,1,0,0,0,0,0
48,9044.26,1,6.577552683,11.30421466,0,1,1,1,1,0,0,1,0,0,1,6,5,5,5,7,6,5,5,0,0,0,0,0,1
63,25381.66,0,3.174571918,10.26646787,0,1,0,1,0,0,0,0,1,0,1,5,6,5,7,6,6,6,6,0,0,0,1,0,0
40,65064.31,1,17.88002366,7.56618217,0,0,0,1,0,0,0,0,0,0,0,6,6,6,6,6,6,6,5,1,0,0,0,0,1
67,12527.51,0,13.12190056,10.40677369,1,0,0,1,0,1,1,0,1,1,0,4,5,5,6,6,4,6,5,1,0,0,0,0,0
56,35499.06,0,23.34617699,7.146124361,1,0,0,1,0,1,1,0,0,1,0,3,4,5,5,5,6,4,6,0,0,0,0,0,0
24,26282.4,6,6.311709178,9.807530479,1,1,1,1,1,0,0,1,0,0,0,4,4,5,6,6,6,6,6,0,0,1,0,0,0
79,51237.28,2,12.58298231,10.61217014,0,0,1,1,1,0,1,1,0,1,1,5,4,5,5,8,5,5,5,0,0,0,0,0,0
61,64222.21,3,7.120096363,5.785085772,0,1,0,1,0,0,0,0,0,0,1,5,6,5,4,6,4,5,5,1,0,1,0,0,0
38,11014.98,0,9.344886869,9.062879297,1,0,0,1,0,0,1,0,1,1,1,5,5,5,5,6,5,5,5,1,0,0,0,0,0
28,21172.49,4,22.37815032,16.54443477,1,0,0,1,1,0,1,0,0,0,0,4,5,4,7,6,5,5,6,0,0,0,0,0,0
44,26130.78,3,4.799514433,4.539566699,0,1,1,1,1,0,1,1,0,1,1,5,5,7,6,6,5,4,4,1,0,0,0,0,0
65,36478.21,1,10.04672315,7.251198724,1,0,1,1,0,0,1,0,1,0,0,7,7,6,5,6,6,5,5,1,0,0,0,0,1
35,54533.63,3,8.156552837,8.943293567,0,1,1,1,0,0,0,1,0,1,1,5,5,5,6,5,6,6,5,0,0,0,0,0,0
31,37103.18,2,7.992791229,12.57884215,0,1,0,1,1,0,0,1,0,1,0,7,7,6,4,4,8,7,7,0,0,0,0,1,0
34,74679.84,2,7.231032028,11.64836306,1,1,1,1,1,0,0,0,0,0,0,5,6,6,6,5,4,5,5,1,0,0,0,0,1
68,95028.57,2,4.627672042,6.076260652,0,1,1,1,1,0,0,1,0,1,1,6,6,6,6,5,6,6,6,1,0,0,0,1,0
62,34281.1,0,10.05306287,11.75681641,0,0,0,0,1,0,1,1,1,0,0,4,4,5,7,4,6,5,6,1,0,0,1,0,0
52,36240.81,0,4.171044392,9.173739977,0,1,1,1,0,1,0,1,1,0,0,5,5,4,6,6,5,5,4,1,0,0,0,1,0
32,9515.64,5,4.568682641,8.353693631,0,0,0,1,1,0,0,1,0,1,1,7,8,7,5,6,4,6,8,1,0,0,0,0,0
47,125814.88,0,6.085030507,10.74539526,0,1,0,1,0,0,0,1,0,0,1,6,6,5,7,5,5,6,7,0,0,0,0,0,0
66,12995.68,8,2.730250735,11.36323648,0,1,0,1,0,0,0,0,1,0,1,6,6,6,3,6,3,4,5,0,0,0,0,0,0
70,77531.43,1,8.574901206,2.310584634,0,1,0,1,1,0,1,0,1,1,0,7,6,7,5,5,7,8,6,0,0,0,0,0,0
41,87354.99,3,9.743201772,5.290318715,0,1,0,1,1,0,0,1,0,1,1,4,4,6,5,5,5,5,4,1,0,0,0,0,0
59,76567.85,2,9.482919033,5.258274954,0,1,0,1,0,0,0,0,0,0,0,5,4,5,5,5,5,4,5,1,0,0,0,1,0
46,30663.52,1,8.447988841,7.157580014,0,0,0,1,1,0,1,1,0,0,0,5,6,5,5,4,7,6,6,1,0,1,0,0,0
70,122957.19,3,6.365998533,2.120350511,0,1,1,1,1,0,1,0,0,0,1,6,6,6,5,6,5,6,7,1,0,1,0,0,0
89,31600.92,1,7.251397592,4.978546291,0,0,0,1,1,0,1,1,1,1,0,5,3,3,8,2,6,5,6,1,0,0,0,0,1
75,74638.78,4,14.64011644,6.547676875,0,0,0,0,1,1,0,1,0,1,1,6,6,5,5,6,5,7,4,0,0,0,1,0,0
26,32652.3,0,11.71637124,7.410590719,1,0,1,1,1,0,0,1,1,1,0,4,5,4,5,5,5,5,5,0,0,1,0,0,0
25,63650.54,4,4.13273503,11.39765385,0,1,0,1,1,0,0,1,1,0,0,5,6,5,6,5,6,6,6,0,0,0,0,0,0
84,28622.6,1,2.887429547,11.29945603,0,0,0,1,1,0,1,0,0,1,0,5,4,6,5,5,7,5,7,0,0,0,0,0,1
69,50252.79,3,3.303030246,11.30748265,0,0,1,1,0,0,1,1,0,0,1,5,5,5,4,7,5,5,5,1,0,0,1,0,0
31,19800.81,3,5.15825129,10.31551212,0,0,1,1,0,0,0,1,0,0,1,4,4,4,5,7,6,5,6,1,0,0,0,0,0
76,35954.77,10,3.237560234,13.71555406,0,0,0,1,0,0,1,0,0,0,1,5,5,6,6,7,6,5,7,1,0,1,0,0,0
75,36342.31,8,2.733109234,15.40917963,0,0,0,1,1,0,1,1,1,1,0,4,5,5,5,6,4,4,6,1,0,0,0,0,0
74,48715.53,1,3.180102025,11.9664542,0,1,1,1,0,0,1,0,1,1,1,7,7,6,5,7,7,6,7,0,1,0,0,0,0
49,23204.98,1,15.85983755,10.18046877,0,0,0,0,0,0,0,0,1,0,0,4,5,4,7,5,4,5,6,1,0,0,0,0,0
47,35302.52,1,11.73724209,14.01485542,0,0,0,1,1,0,1,0,0,1,1,7,6,7,5,5,6,7,7,1,0,0,0,1,0
20,54895.16,4,7.006240694,14.62784306,0,1,1,1,0,1,1,0,1,0,1,3,4,4,6,3,5,5,5,0,0,1,0,0,0
26,60398.06,2,5.562130367,10.90517581,0,0,0,1,1,1,0,0,1,0,1,6,6,6,6,6,6,4,6,0,0,0,1,0,0
72,8115.88,2,14.53027663,8.894475174,0,0,0,1,0,0,0,0,1,1,1,7,6,6,4,6,5,5,5,0,0,0,1,0,0
41,33858.66,1,5.905906389,10.50187888,1,0,1,1,0,1,1,0,0,1,0,4,4,5,6,4,5,5,5,1,0,0,0,0,0
26,29950.47,3,3.260462654,12.34250072,0,1,1,1,1,1,1,0,0,0,1,6,5,6,6,5,5,5,5,0,0,1,0,0,0
55,49421.69,4,18.91276578,10.29380879,0,1,0,1,1,1,1,1,0,0,1,5,5,6,4,5,6,6,5,1,0,0,0,1,0
46,11061.05,1,14.25617986,8.512650562,0,1,0,1,0,0,0,0,1,1,1,6,5,5,5,7,4,6,5,0,0,1,0,0,0
87,15388.32,0,7.983887266,7.82671592,1,1,0,1,0,0,0,0,1,1,1,5,5,6,6,5,5,5,7,0,0,0,0,1,0
39,20624.31,1,5.969967132,6.985590245,1,0,1,1,0,1,1,0,1,1,0,5,4,5,5,6,6,6,4,1,0,0,0,0,0
81,47877.81,0,19.95277818,11.40449185,0,0,0,1,1,0,0,1,0,1,1,5,5,5,5,4,6,5,6,1,0,1,0,0,0
83,46154.17,0,14.85781115,10.44249511,0,1,0,1,0,1,1,1,1,0,0,6,5,5,8,6,5,5,5,1,0,0,1,0,0
50,107111.8,0,2.600063739,15.38627887,0,0,0,1,0,1,0,1,0,0,1,6,6,7,6,5,5,5,6,0,0,0,0,0,1
87,10403.59,3,11.92299244,10.68024546,0,1,0,1,1,0,0,1,0,1,0,5,6,5,6,5,6,5,6,0,0,1,0,0,0
76,22412.6,3,5.972864167,10.62439366,0,1,0,1,0,0,1,0,0,1,0,7,6,5,5,6,6,8,6,0,0,1,0,0,0
25,19476.27,6,10.87555535,10.91642397,1,0,0,1,0,0,0,1,1,1,1,7,7,6,7,4,5,5,6,0,0,0,0,0,1
34,96382.76,3,16.00330155,8.580626195,0,1,0,1,0,1,0,1,1,1,1,7,7,6,5,8,5,5,5,1,0,1,0,0,0
46,28022.56,1,12.63074989,8.996933306,0,1,0,1,0,0,0,0,1,0,1,5,4,4,7,6,4,5,4,0,0,0,0,0,0
73,35478.4,1,8.4944392,7.602570192,0,1,0,1,0,0,0,0,1,1,0,5,6,7,6,4,7,5,7,0,0,1,0,0,0
57,10155.51,8,8.044444101,9.217689334,0,1,0,1,0,1,0,0,0,0,1,4,3,5,5,6,4,4,5,0,0,0,0,0,0
58,87537.25,3,12.07358377,9.591529444,0,1,1,1,1,0,0,0,1,0,0,7,6,6,5,7,5,6,4,1,0,0,0,0,0
70,34112.1,4,10.21634248,13.36027908,0,1,0,1,0,0,0,1,0,1,1,5,7,6,5,5,6,5,5,1,0,0,1,0,0
53,32653.51,0,15.50354683,4.372034777,0,1,0,1,1,1,0,1,0,1,0,6,6,6,7,2,6,5,6,1,0,1,0,0,0
31,35321.46,0,13.88004531,10.59285179,0,1,0,1,0,0,0,1,0,0,1,7,6,6,4,5,6,7,6,1,0,1,0,0,0
38,49277.48,0,19.48900163,12.81260566,0,0,0,1,1,1,0,0,0,1,0,5,5,5,4,7,5,5,6,0,0,0,0,0,1
26,37297.82,0,10.01771765,3.767298987,0,0,0,1,1,0,1,0,1,1,0,7,7,5,5,5,4,5,5,0,0,0,0,0,1
44,14928.96,2,7.34059599,17.56798903,0,1,0,1,0,0,1,1,0,0,0,6,5,5,7,5,6,7,6,1,0,0,0,0,1
66,24702.68,3,12.64742067,11.2369761,1,0,0,1,0,0,0,1,1,1,0,5,5,6,5,5,5,4,5,0,0,0,0,0,0
58,87535.71,1,8.850426839,8.54892416,0,1,0,1,0,1,0,0,0,1,0,6,7,6,6,5,7,6,6,1,0,0,0,0,0
51,63166.87,6,3.701557118,6.094109902,0,0,0,1,0,0,0,0,0,1,1,6,5,5,6,5,5,6,5,0,0,0,0,0,0
34,11856.81,4,2.976033785,13.9077275,0,0,0,1,1,0,1,1,1,0,1,6,7,6,6,5,5,6,5,0,0,0,0,1,0
87,27326.79,0,5.522376826,7.905333122,0,1,0,1,0,1,1,1,0,1,0,6,5,7,6,5,5,5,5,0,1,0,0,0,1
67,12779.23,1,15.64596698,12.53830949,0,1,0,1,1,0,0,0,0,1,1,6,5,5,6,6,4,5,6,0,0,0,0,0,0
59,25519.91,4,23.00764441,12.8219418,0,0,1,1,1,0,0,0,0,1,1,5,6,6,5,6,5,5,6,0,1,0,1,0,0
23,46871.21,7,17.24924155,8.941553742,0,1,0,1,0,0,1,1,1,0,0,4,5,4,4,8,3,4,4,1,0,0,0,0,0
42,77383.72,0,13.01107597,10.51043963,0,1,0,1,1,0,0,0,0,1,1,6,5,5,7,5,7,4,7,1,0,0,0,0,1
24,47395.3,1,5.104082209,11.86384439,0,1,0,1,1,1,1,1,1,0,1,5,5,6,5,5,5,6,6,0,0,0,0,0,0
81,90977.74,2,3.521499924,10.76051016,0,1,1,1,1,0,1,0,0,0,0,5,5,7,7,5,6,6,5,0,0,0,0,0,1
78,135727.71,8,8.08137067,11.05420024,0,0,0,1,0,1,0,1,0,0,0,6,6,6,6,4,7,5,6,1,0,0,0,1,0
51,47726.25,1,1.875430489,8.174495258,0,0,1,1,0,1,1,1,0,0,1,8,6,7,6,5,6,6,6,0,0,0,0,1,0
70,51721.64,1,5.587484456,10.05388383,0,1,0,1,0,0,0,0,0,0,0,5,6,8,7,4,6,5,6,0,0,0,1,0,0
87,41531.03,0,7.007695148,7.045552801,0,1,1,1,0,1,0,1,0,0,1,4,5,6,5,5,5,6,5,0,0,1,0,0,0
46,33504.8,0,1.408375942,8.957297136,0,0,0,1,0,0,0,0,0,1,0,5,5,4,5,4,5,5,6,0,0,0,0,0,0
56,34197.3,8,11.64983735,15.74015572,0,1,1,1,0,0,0,1,0,1,1,4,3,5,5,7,6,4,5,0,0,0,0,0,1
